filename,genus_species,width,height
ZF6186-Globigerina-digitata_obj00005_plane000.jpg,Beella_digitata,207,229
ZF6201-Globigerina-digitata_obj00001_plane000.jpg,Beella_digitata,187,231
ZF6186-Globigerina-digitata_obj00002_plane000.jpg,Beella_digitata,314,308
ZF6205-Globigerina-digitata_obj00002_plane000.jpg,Beella_digitata,209,183
ZF6182-Globigerina-digitata_obj00001_plane000.jpg,Beella_digitata,257,261
ZF6191-Globigerina-digitata_obj00002_plane000.jpg,Beella_digitata,167,184
ZF6188-Globigerina-digitata_obj00001_plane000.jpg,Beella_digitata,204,191
ZF6186-Globigerina-digitata_obj00003_plane000.jpg,Beella_digitata,202,288
ZF6186-Globigerina-digitata_obj00004_plane000.jpg,Beella_digitata,159,182
747320_ex307706_obj00567.jpg,Beella_digitata,438,474
ZF6199-Globigerina-digitata_obj00003_plane000.jpg,Beella_digitata,152,160
ZF6199-Globigerina-digitata_obj00004_plane000.jpg,Beella_digitata,105,120
ZF6205-Globigerina-digitata_obj00004_plane000.jpg,Beella_digitata,180,181
ZF6187-Globigerina-digitata_obj00002_plane000.jpg,Beella_digitata,137,114
ZF6200-Globigerina-digitata_obj00001_plane000.jpg,Beella_digitata,257,189
ZF6187-Globigerina-digitata_obj00005_plane000.jpg,Beella_digitata,197,161
ZF6194-Globigerina-digitata_obj00001_plane000.jpg,Beella_digitata,133,140
ZF6198-Globigerina-digitata_obj00002_plane000.jpg,Beella_digitata,370,285
ZF6183-Globigerina-digitata_obj00001_plane000.jpg,Beella_digitata,190,177
ZF6185-Globigerina-digitata_obj00004_plane000.jpg,Beella_digitata,134,139
ZF6190-Globigerina-digitata_obj00002_plane000.jpg,Beella_digitata,137,132
ZF6187-Globigerina-digitata_obj00004_plane000.jpg,Beella_digitata,152,141
ZF6185-Globigerina-digitata_obj00002_plane000.jpg,Beella_digitata,277,232
ZF6181-Globigerina-digitata_obj00004_plane000.jpg,Beella_digitata,168,147
ZF6200-Globigerina-digitata_obj00005_plane000.jpg,Beella_digitata,244,254
ZF6195-Globigerina-digitata_obj00009_plane000.jpg,Beella_digitata,184,140
ZF6190-Globigerina-digitata_obj00001_plane000.jpg,Beella_digitata,153,225
ZF6200-Globigerina-digitata_obj00004_plane000.jpg,Beella_digitata,106,149
ZF6200-Globigerina-digitata_obj00003_plane000.jpg,Beella_digitata,246,236
ZF6194-Globigerina-digitata_obj00004_plane000.jpg,Beella_digitata,140,128
ZF6206-Globigerina-digitata_obj00001_plane000.jpg,Beella_digitata,216,184
749459_ex307711_obj00099.jpg,Beella_digitata,377,327
730375_ex307653_obj00009.jpg,Beella_digitata,307,319
ZF6186-Globigerina-digitata_obj00006_plane000.jpg,Beella_digitata,189,195
ZF6188-Globigerina-digitata_obj00003_plane000.jpg,Beella_digitata,166,181
ZF6205-Globigerina-digitata_obj00001_plane000.jpg,Beella_digitata,209,169
ZF6182-Globigerina-digitata_obj00002_plane000.jpg,Beella_digitata,201,155
ZF6186-Globigerina-digitata_obj00007_plane000.jpg,Beella_digitata,173,182
ZF6188-Globigerina-digitata_obj00002_plane000.jpg,Beella_digitata,250,210
ZF6184-Globigerina-digitata_obj00006_plane000.jpg,Beella_digitata,237,190
743761_ex307696_obj00357.jpg,Candeina_nitida,454,450
ZF6778-Candeina-nitida_obj00008_plane000.jpg,Candeina_nitida,266,329
ZF6789-Candeina-nitida_obj00002_plane000.jpg,Candeina_nitida,266,236
ZF6772-Candeina-nitida_obj00007_plane000.jpg,Candeina_nitida,201,169
ZF6795-Candeina-nitida_obj00008_plane000.jpg,Candeina_nitida,222,190
ZF6793-Candeina-nitida_obj00008_plane000.jpg,Candeina_nitida,223,274
ZF6798-Candeina-nitida_obj00012_plane000.jpg,Candeina_nitida,260,260
ZF6792-Candeina-nitida_obj00008_plane000.jpg,Candeina_nitida,253,261
728337_ex307645_obj00004.jpg,Candeina_nitida,501,477
ZF6776-Candeina-nitida_obj00007_plane000.jpg,Candeina_nitida,252,239
769947_ex307819_obj00395.jpg,Candeina_nitida,308,253
ZF6789-Candeina-nitida_obj00004_plane000.jpg,Candeina_nitida,273,260
743476_ex307695_obj00183.jpg,Candeina_nitida,483,555
ZF6789-Candeina-nitida_obj00003_plane000.jpg,Candeina_nitida,179,174
728219_ex307644_obj00669.jpg,Candeina_nitida,543,512
ZF6795-Candeina-nitida_obj00009_plane000.jpg,Candeina_nitida,251,300
ZF6772-Candeina-nitida_obj00006_plane000.jpg,Candeina_nitida,259,230
743438_ex307695_obj00123.jpg,Candeina_nitida,591,652
